id,partie,livre
Astree-01-00a,1,00a
Astree-01-00b,1,00b
Astree-01-01,1,1
Astree-01-02,1,2
Astree-01-03,1,3
Astree-01-04,1,4
Astree-01-05,1,5
Astree-01-06,1,6
Astree-01-07,1,7
Astree-01-08,1,8
Astree-01-09,1,9
Astree-01-10,1,10
Astree-01-11,1,11
Astree-01-12,1,12
Astree-02-00,2,0
Astree-02-01,2,1
Astree-02-02,2,2
Astree-02-03,2,3
Astree-02-04,2,4
Astree-02-05,2,5
Astree-02-06,2,6
Astree-02-07,2,7
Astree-02-08,2,8
Astree-02-09,2,9
Astree-02-10,2,10
Astree-02-11,2,11
Astree-02-12,2,12
Astree-03-00a,3,00a
Astree-03-00b,3,00b
Astree-03-00c,3,00c
Astree-03-01,3,1
Astree-03-02,3,2
Astree-03-03,3,3
Astree-03-04,3,4
Astree-03-05,3,5
Astree-03-06,3,6
Astree-03-07,3,7
Astree-03-08,3,8
Astree-03-09,3,9
Astree-03-10,3,10
Astree-03-11,3,11
Astree-03-12,3,12
Astree-04-00a,4,00a
Astree-04-00b,4,00b
Astree-04-01,4,1
Astree-04-02,4,2
Astree-04-03,4,3
Astree-04-04,4,4
Astree-04-05,4,5
Astree-04-06,4,6
Astree-04-07,4,7
Astree-04-08,4,8
Astree-04-09,4,9
Astree-04-10,4,10
Astree-04-11,4,11
Astree-04-12,4,12
Astree-05-00,5,0
Astree-05-01,5,1
Astree-05-02,5,2
Astree-05-03,5,3
Astree-05-04,5,4
Astree-05-05,5,5
Astree-05-06,5,6
Astree-05-07,5,7
Astree-05-08,5,8
Astree-05-09,5,9
Astree-05-10,5,10
Astree-05-11,5,11
Astree-05-12,5,12
Astree-06-00,6,0
Astree-06-03,6,3
Astree-06-04,6,4
Astree-06-05,6,5
Astree-06-06,6,6
